id,date,timestamp,year,month,day,aqi,rank,pm25,pm10,so2,co,no2,o3
1,2013-12-02,1385913600,2013,12,2,142,轻度污染,109,138,61,2.6,88,11
2,2013-12-03,1386000000,2013,12,3,86,良,64,86,38,1.6,54,45
3,2013-12-04,1386086400,2013,12,4,109,轻度污染,82,101,42,2,62,23
4,2013-12-05,1386172800,2013,12,5,56,良,39,56,30,1.2,38,52
5,2013-12-06,1386259200,2013,12,6,169,中度污染,128,162,48,2.5,78,15
6,2013-12-07,1386345600,2013,12,7,291,重度污染,241,285,64,4.2,98,6
7,2013-12-08,1386432000,2013,12,8,223,重度污染,173,189,47,2.9,60,41
8,2013-12-09,1386518400,2013,12,9,26,优,11,16,10,0.6,22,51
9,2013-12-10,1386604800,2013,12,10,45,优,21,45,14,1,29,52
10,2013-12-11,1386691200,2013,12,11,30,优,19,30,15,0.7,30,45
11,2013-12-12,1386777600,2013,12,12,29,优,16,29,11,0.8,25,56
12,2013-12-13,1386864000,2013,12,13,66,良,48,63,29,1.3,45,29
13,2013-12-14,1386950400,2013,12,14,56,良,40,48,29,1.2,41,46
14,2013-12-15,1387036800,2013,12,15,64,良,46,55,31,1.5,49,31
15,2013-12-16,1387123200,2013,12,16,134,轻度污染,102,126,59,2.5,70,10
16,2013-12-17,1387209600,2013,12,17,80,良,59,41,35,1.4,39,42
17,2013-12-18,1387296000,2013,12,18,45,优,29,45,22,0.9,32,43
18,2013-12-19,1387382400,2013,12,19,63,良,45,60,30,1.2,50,35
19,2013-12-20,1387468800,2013,12,20,45,优,30,45,28,1.1,46,47
20,2013-12-21,1387555200,2013,12,21,82,良,61,81,43,1.6,69,30
21,2013-12-22,1387641600,2013,12,22,179,中度污染,135,178,67,2.8,95,14
22,2013-12-23,1387728000,2013,12,23,166,中度污染,126,166,62,2.9,90,30
23,2013-12-24,1387814400,2013,12,24,269,重度污染,219,268,94,4.8,123,10
24,2013-12-25,1387900800,2013,12,25,219,重度污染,169,219,65,3.3,94,54
25,2013-12-26,1387987200,2013,12,26,30,优,10,20,9,0.4,21,59
26,2013-12-27,1388073600,2013,12,27,23,优,16,21,19,0.6,34,40
27,2013-12-28,1388160000,2013,12,28,31,优,11,18,11,0.3,21,61
28,2013-12-29,1388246400,2013,12,29,78,良,58,87,48,1.7,76,30
29,2013-12-30,1388332800,2013,12,30,67,良,43,84,28,1.1,53,59
30,2013-12-31,1388419200,2013,12,31,99,良,50,148,23,1.2,49,63
31,2014-01-01,1388505600,2014,1,1,81,良,45,111,28,1.5,62,52
32,2014-01-02,1388592000,2014,1,2,145,轻度污染,111,168,69,3.4,93,14
33,2014-01-03,1388678400,2014,1,3,74,良,47,98,29,1.3,52,56
34,2014-01-04,1388764800,2014,1,4,149,轻度污染,114,147,40,2.8,75,14
35,2014-01-05,1388851200,2014,1,5,119,轻度污染,91,117,36,2.3,67,44
36,2014-01-06,1388937600,2014,1,6,182,中度污染,138,158,46,2.4,68,12
37,2014-01-07,1389024000,2014,1,7,145,轻度污染,111,125,34,2,60,43
38,2014-01-08,1389110400,2014,1,8,27,优,15,25,13,0.5,21,53
39,2014-01-09,1389196800,2014,1,9,46,优,27,46,19,0.8,35,53
40,2014-01-10,1389283200,2014,1,10,85,良,63,94,53,1.9,71,19
41,2014-01-11,1389369600,2014,1,11,139,轻度污染,106,128,76,2.8,90,11
42,2014-01-12,1389456000,2014,1,12,47,优,27,47,27,0.7,39,59
43,2014-01-13,1389542400,2014,1,13,109,轻度污染,82,107,67,2.3,78,20
44,2014-01-14,1389628800,2014,1,14,108,轻度污染,82,108,68,2.4,74,24
45,2014-01-15,1389715200,2014,1,15,125,轻度污染,95,117,66,2.7,84,18
46,2014-01-16,1389801600,2014,1,16,402,严重污染,353,384,109,4.6,123,20
47,2014-01-17,1389888000,2014,1,17,215,重度污染,165,194,67,2.4,76,30
48,2014-01-18,1389974400,2014,1,18,99,良,74,81,42,1.5,61,36
49,2014-01-19,1390060800,2014,1,19,151,中度污染,115,186,71,2.5,72,41
50,2014-01-20,1390147200,2014,1,20,35,优,8,35,6,0.3,15,65
51,2014-01-21,1390233600,2014,1,21,26,优,18,25,27,0.7,34,50
52,2014-01-22,1390320000,2014,1,22,150,轻度污染,115,138,75,2.2,93,16
53,2014-01-23,1390406400,2014,1,23,271,重度污染,221,263,118,4,125,8
54,2014-01-24,1390492800,2014,1,24,197,中度污染,148,168,79,2.8,92,23
55,2014-01-25,1390579200,2014,1,25,42,优,24,42,24,1,42,61
56,2014-01-26,1390665600,2014,1,26,72,良,53,81,45,1,47,44
57,2014-01-27,1390752000,2014,1,27,118,轻度污染,89,120,57,1.8,60,56
58,2014-01-28,1390838400,2014,1,28,62,良,40,75,28,0.9,38,56
59,2014-01-29,1390924800,2014,1,29,155,中度污染,118,141,71,2.3,75,32
60,2014-01-30,1391011200,2014,1,30,96,良,72,97,39,1.2,46,68
61,2014-01-31,1391097600,2014,1,31,190,中度污染,143,182,63,1.4,48,38
62,2014-02-01,1391184000,2014,2,1,179,中度污染,135,146,52,2,57,12
63,2014-02-02,1391270400,2014,2,2,89,良,66,97,19,1.2,31,73
64,2014-02-03,1391356800,2014,2,3,37,优,5,32,5,0.3,8,73
65,2014-02-04,1391443200,2014,2,4,40,优,27,40,19,0.6,21,68
66,2014-02-05,1391529600,2014,2,5,117,轻度污染,88,102,53,1.6,49,42
67,2014-02-06,1391616000,2014,2,6,157,中度污染,120,130,66,2,64,39
68,2014-02-07,1391702400,2014,2,7,133,轻度污染,102,67,33,1.6,59,30
69,2014-02-08,1391788800,2014,2,8,90,良,67,40,23,1.2,36,66
70,2014-02-09,1391875200,2014,2,9,33,优,9,16,16,0.5,18,65
71,2014-02-10,1391961600,2014,2,10,35,优,24,28,26,0.7,38,55
72,2014-02-11,1392048000,2014,2,11,129,轻度污染,98,111,58,2.1,77,37
73,2014-02-12,1392134400,2014,2,12,146,轻度污染,111,116,53,2.2,77,47
74,2014-02-13,1392220800,2014,2,13,238,重度污染,188,173,73,2.8,84,24
75,2014-02-14,1392307200,2014,2,14,315,严重污染,265,295,73,3.1,95,27
76,2014-02-15,1392393600,2014,2,15,428,严重污染,393,449,100,3.8,110,25
77,2014-02-16,1392480000,2014,2,16,346,严重污染,296,204,79,3.2,88,60
78,2014-02-17,1392566400,2014,2,17,138,轻度污染,105,52,67,2.1,72,56
79,2014-02-18,1392652800,2014,2,18,95,良,71,84,38,1.1,61,44
80,2014-02-19,1392739200,2014,2,19,87,良,64,72,34,1.2,60,64
81,2014-02-20,1392825600,2014,2,20,214,重度污染,164,175,45,2.2,79,30
82,2014-02-21,1392912000,2014,2,21,309,严重污染,259,284,78,2.7,101,26
83,2014-02-22,1392998400,2014,2,22,313,严重污染,263,300,102,3.4,102,18
84,2014-02-23,1393084800,2014,2,23,261,重度污染,211,246,130,3.6,92,14
85,2014-02-24,1393171200,2014,2,24,310,严重污染,260,327,133,4.7,119,19
86,2014-02-25,1393257600,2014,2,25,403,严重污染,354,389,78,5.2,122,13
87,2014-02-26,1393344000,2014,2,26,366,严重污染,316,250,81,3.7,106,18
88,2014-02-27,1393430400,2014,2,27,35,优,16,24,13,0.5,25,70
89,2014-02-28,1393516800,2014,2,28,103,轻度污染,78,102,33,1.5,71,47
90,2014-03-01,1393603200,2014,3,1,54,良,38,57,23,0.8,48,70
91,2014-03-02,1393689600,2014,3,2,178,中度污染,135,165,60,2.6,93,40
92,2014-03-03,1393776000,2014,3,3,268,重度污染,218,248,96,4.2,102,18
93,2014-03-04,1393862400,2014,3,4,77,良,57,78,27,1.3,40,74
94,2014-03-05,1393948800,2014,3,5,35,优,20,35,16,0.8,35,66
95,2014-03-06,1394035200,2014,3,6,39,优,16,28,14,0.6,29,77
96,2014-03-07,1394121600,2014,3,7,66,良,48,72,26,1.1,53,65
97,2014-03-08,1394208000,2014,3,8,172,中度污染,131,166,68,2.3,92,38
98,2014-03-09,1394294400,2014,3,9,124,轻度污染,94,118,45,1.6,68,72
99,2014-03-10,1394380800,2014,3,10,107,轻度污染,81,101,53,1.7,72,45
100,2014-03-11,1394467200,2014,3,11,205,重度污染,155,196,76,2.4,80,68
101,2014-03-12,1394553600,2014,3,12,41,优,11,23,9,0.4,26,82
102,2014-03-13,1394640000,2014,3,13,62,良,20,75,14,0.6,37,77
103,2014-03-14,1394726400,2014,3,14,64,良,21,79,13,0.5,31,86
104,2014-03-15,1394812800,2014,3,15,124,轻度污染,94,173,43,1.5,89,61
105,2014-03-16,1394899200,2014,3,16,148,轻度污染,113,198,76,2.1,72,97
106,2014-03-17,1394985600,2014,3,17,145,轻度污染,83,241,27,1.2,50,82
107,2014-03-18,1395072000,2014,3,18,87,良,37,124,17,0.6,36,91
108,2014-03-19,1395158400,2014,3,19,72,良,46,93,17,0.8,46,78
109,2014-03-20,1395244800,2014,3,20,44,优,10,27,5,0.4,23,87
110,2014-03-21,1395331200,2014,3,21,57,良,25,64,11,0.6,43,92
111,2014-03-22,1395417600,2014,3,22,82,良,47,115,16,0.8,53,96
112,2014-03-23,1395504000,2014,3,23,177,中度污染,134,183,44,1.6,69,146
113,2014-03-24,1395590400,2014,3,24,270,重度污染,220,249,53,2,93,115
114,2014-03-25,1395676800,2014,3,25,250,重度污染,200,237,43,1.6,92,159
115,2014-03-26,1395763200,2014,3,26,319,严重污染,269,318,43,2,111,137
